3.45,4.12,3.87  
4.56,3.91,4.33  
3.67,4.25,3.98  
4.02,3.78,4.15  
3.88,4.44,3.90  
4.22,3.97,4.31  
3.99,4.11,3.65  
3.85,4.39,4.08  
4.13,3.76,4.28  
4.47,3.89,4.02  
4.09,3.67,4.19  
4.35,3.93,3.81  
3.71,4.20,4.14  
4.11,3.88,3.99  
3.89,4.34,3.75  
4.03,3.82,4.18  
3.96,4.41,3.87  
4.25,3.74,4.07  
3.78,4.09,4.15  
4.36,3.95,3.92  
3.99,4.03,4.22  
4.15,3.69,4.35  
4.28,3.77,4.05  
3.84,4.32,3.90  
4.19,3.86,4.09  
4.21,3.92,3.87  
3.76,4.33,4.12  
4.06,3.81,4.18  
4.37,3.93,3.94  
4.10,3.89,4.23  
